,keyword,date,trend_index
187,hangouts,2019-10-20,5
188,hangouts,2019-10-27,5
189,hangouts,2019-11-03,6
190,hangouts,2019-11-10,6
191,hangouts,2019-11-17,5
192,hangouts,2019-11-24,5
193,hangouts,2019-12-01,6
194,hangouts,2019-12-08,4
195,hangouts,2019-12-15,5
196,hangouts,2019-12-22,4
197,hangouts,2019-12-29,4
198,hangouts,2020-01-05,4
199,hangouts,2020-01-12,5
200,hangouts,2020-01-19,6
201,hangouts,2020-01-26,6
202,hangouts,2020-02-02,6
203,hangouts,2020-02-09,5
204,hangouts,2020-02-16,6
205,hangouts,2020-02-23,6
206,hangouts,2020-03-01,5
207,hangouts,2020-03-08,26
208,hangouts,2020-03-15,100
209,hangouts,2020-03-22,77
210,hangouts,2020-03-29,61
211,hangouts,2020-04-05,45
212,hangouts,2020-04-12,57
213,hangouts,2020-04-19,50
214,hangouts,2020-04-26,39
215,hangouts,2020-05-03,34
216,hangouts,2020-05-10,29
217,hangouts,2020-05-17,29
218,hangouts,2020-05-24,25
219,refugiados,2019-01-06,48
220,refugiados,2019-01-13,66
221,refugiados,2019-01-20,40
222,refugiados,2019-01-27,42
223,refugiados,2019-02-03,46
224,refugiados,2019-02-10,42
225,refugiados,2019-02-17,44
226,refugiados,2019-02-24,46
227,refugiados,2019-03-03,34
228,refugiados,2019-03-10,47
229,refugiados,2019-03-17,47
230,refugiados,2019-03-24,43
231,refugiados,2019-03-31,46
232,refugiados,2019-04-07,49
233,refugiados,2019-04-14,34
234,refugiados,2019-04-21,45
235,refugiados,2019-04-28,35
236,refugiados,2019-05-05,45
237,refugiados,2019-05-12,49
238,refugiados,2019-05-19,53
239,refugiados,2019-05-26,34
240,refugiados,2019-06-02,40
241,refugiados,2019-06-09,41
242,refugiados,2019-06-16,59
243,refugiados,2019-06-23,33
244,refugiados,2019-06-30,41
245,refugiados,2019-07-07,28
246,refugiados,2019-07-14,27
247,refugiados,2019-07-21,24
248,refugiados,2019-07-28,25
249,refugiados,2019-08-04,38
250,refugiados,2019-08-11,42
251,refugiados,2019-08-18,65
252,refugiados,2019-08-25,36
253,refugiados,2019-09-01,33
254,refugiados,2019-09-08,28
255,refugiados,2019-09-15,29
256,refugiados,2019-09-22,28
257,refugiados,2019-09-29,33
258,refugiados,2019-10-06,40
259,refugiados,2019-10-13,32
260,refugiados,2019-10-20,41
261,refugiados,2019-10-27,39
262,refugiados,2019-11-03,41
263,refugiados,2019-11-10,45
264,refugiados,2019-11-17,46
265,refugiados,2019-11-24,57
266,refugiados,2019-12-01,47
267,refugiados,2019-12-08,31
268,refugiados,2019-12-15,32
269,refugiados,2019-12-22,21
270,refugiados,2019-12-29,23
271,refugiados,2020-01-05,43
272,refugiados,2020-01-12,44
273,refugiados,2020-01-19,44
274,refugiados,2020-01-26,51
275,refugiados,2020-02-02,36
276,refugiados,2020-02-09,39
277,refugiados,2020-02-16,36
278,refugiados,2020-02-23,45
279,refugiados,2020-03-01,100
280,refugiados,2020-03-08,53
281,refugiados,2020-03-15,34
282,refugiados,2020-03-22,51
283,refugiados,2020-03-29,47
284,refugiados,2020-04-05,37
285,refugiados,2020-04-12,40
286,refugiados,2020-04-19,38
287,refugiados,2020-04-26,41
288,refugiados,2020-05-03,31
289,refugiados,2020-05-10,44
290,refugiados,2020-05-17,45
291,refugiados,2020-05-24,24
292,inmigracion,2019-01-06,76
293,inmigracion,2019-01-13,82
294,inmigracion,2019-01-20,66
295,inmigracion,2019-01-27,47
296,inmigracion,2019-02-03,66
297,inmigracion,2019-02-10,71
298,inmigracion,2019-02-17,63
299,inmigracion,2019-02-24,51
300,inmigracion,2019-03-03,50
301,inmigracion,2019-03-10,63
302,inmigracion,2019-03-17,58
303,inmigracion,2019-03-24,49
304,inmigracion,2019-03-31,58
305,inmigracion,2019-04-07,48
306,inmigracion,2019-04-14,44
307,inmigracion,2019-04-21,89
308,inmigracion,2019-04-28,80
309,inmigracion,2019-05-05,64
310,inmigracion,2019-05-12,61
311,inmigracion,2019-05-19,65
312,inmigracion,2019-05-26,60
313,inmigracion,2019-06-02,55
314,inmigracion,2019-06-09,62
315,inmigracion,2019-06-16,38
316,inmigracion,2019-06-23,38
317,inmigracion,2019-06-30,47
318,inmigracion,2019-07-07,34
319,inmigracion,2019-07-14,28
320,inmigracion,2019-07-21,30
321,inmigracion,2019-07-28,38
322,inmigracion,2019-08-04,37
323,inmigracion,2019-08-11,61
324,inmigracion,2019-08-18,71
325,inmigracion,2019-08-25,64
326,inmigracion,2019-09-01,44
327,inmigracion,2019-09-08,34
328,inmigracion,2019-09-15,44
329,inmigracion,2019-09-22,53
330,inmigracion,2019-09-29,54
331,inmigracion,2019-10-06,53
332,inmigracion,2019-10-13,56
333,inmigracion,2019-10-20,48
334,inmigracion,2019-10-27,55
335,inmigracion,2019-11-03,100
336,inmigracion,2019-11-10,100
337,inmigracion,2019-11-17,71
338,inmigracion,2019-11-24,65
339,inmigracion,2019-12-01,43
340,inmigracion,2019-12-08,51
341,inmigracion,2019-12-15,56
342,inmigracion,2019-12-22,18
343,inmigracion,2019-12-29,34
344,inmigracion,2020-01-05,59
345,inmigracion,2020-01-12,58
346,inmigracion,2020-01-19,57
347,inmigracion,2020-01-26,59
348,inmigracion,2020-02-02,44
349,inmigracion,2020-02-09,46
350,inmigracion,2020-02-16,64
351,inmigracion,2020-02-23,56
352,inmigracion,2020-03-01,49
353,inmigracion,2020-03-08,38
354,inmigracion,2020-03-15,30
355,inmigracion,2020-03-22,38
356,inmigracion,2020-03-29,33
357,inmigracion,2020-04-05,37
358,inmigracion,2020-04-12,46
359,inmigracion,2020-04-19,56
360,inmigracion,2020-04-26,39
361,inmigracion,2020-05-03,47
362,inmigracion,2020-05-10,49
363,inmigracion,2020-05-17,54
364,inmigracion,2020-05-24,68
365,nacionalismo,2019-01-06,32
366,nacionalismo,2019-01-13,31
367,nacionalismo,2019-01-20,31
368,nacionalismo,2019-01-27,25
369,nacionalismo,2019-02-03,28
370,nacionalismo,2019-02-10,37
371,nacionalismo,2019-02-17,36
372,nacionalismo,2019-02-24,35
373,nacionalismo,2019-03-03,26
374,nacionalismo,2019-03-10,28
375,nacionalismo,2019-03-17,25
376,nacionalismo,2019-03-24,29
377,nacionalismo,2019-03-31,23
378,nacionalismo,2019-04-07,22
379,nacionalismo,2019-04-14,31
380,nacionalismo,2019-04-21,31
381,nacionalismo,2019-04-28,42
382,nacionalismo,2019-05-05,23
383,nacionalismo,2019-05-12,33
384,nacionalismo,2019-05-19,34
385,nacionalismo,2019-05-26,26
386,nacionalismo,2019-06-02,25
387,nacionalismo,2019-06-09,16
388,nacionalismo,2019-06-16,17
389,nacionalismo,2019-06-23,15
390,nacionalismo,2019-06-30,8
391,nacionalismo,2019-07-07,10
392,nacionalismo,2019-07-14,11
393,nacionalismo,2019-07-21,16
394,nacionalismo,2019-07-28,14
395,nacionalismo,2019-08-04,15
396,nacionalismo,2019-08-11,13
397,nacionalismo,2019-08-18,10
398,nacionalismo,2019-08-25,14
399,nacionalismo,2019-09-01,10
400,nacionalismo,2019-09-08,13
401,nacionalismo,2019-09-15,16
402,nacionalismo,2019-09-22,15
403,nacionalismo,2019-09-29,16
